s	real_super_population
HG02267	AMR
HG02271	AMR
HG02272	AMR
HG02273	AMR
HG02274	AMR
HG02275	AMR
HG02276	AMR
HG02277	AMR
HG02278	AMR
HG02279	AMR
HG02280	AFR
HG02281	AFR
HG02282	AFR
HG02283	AFR
HG02284	AFR
HG02285	AMR
HG02286	AMR
HG02287	AMR
HG02288	AMR
HG02291	AMR
HG02292	AMR
HG02293	AMR
HG02298	AMR
HG02299	AMR
HG02300	AMR
HG02301	AMR
HG02302	AMR
HG02303	AMR
HG02304	AMR
HG02307	AFR
HG02308	AFR
HG02309	AFR
HG02312	AMR
HG02314	AFR
HG02315	AFR
HG02316	AFR
HG02317	AFR
HG02318	AFR
HG02321	AFR
HG02322	AFR
HG02323	AFR
HG02325	AFR
HG02330	AFR
HG02332	AFR
HG02334	AFR
HG02337	AFR
HG02339	AFR
HG02343	AFR
HG02344	AMR
HG02345	AMR
HG02347	AMR
HG02348	AMR
HG02351	EAS
HG02353	EAS
HG02355	EAS
HG02356	EAS
HG02358	EAS
HG02360	EAS
HG02363	EAS
HG02364	EAS
HG02367	EAS
HG02371	EAS
HG02372	EAS
HG02373	EAS
HG02374	EAS
HG02375	EAS
HG02377	EAS
HG02379	EAS
HG02380	EAS
HG02381	EAS
HG02382	EAS
HG02383	EAS
HG02384	EAS
HG02385	EAS
HG02386	EAS
HG02387	EAS
HG02388	EAS
HG02389	EAS
HG02390	EAS
HG02391	EAS
HG02392	EAS
HG02394	EAS
HG02395	EAS
HG02396	EAS
HG02397	EAS
HG02398	EAS
HG02399	EAS
HG02401	EAS
HG02402	EAS
HG02405	EAS
HG02406	EAS
HG02407	EAS
HG02408	EAS
HG02409	EAS
HG02410	EAS
HG02415	AMR
HG02419	AFR
HG02420	AFR
HG02425	AMR
HG02427	AFR
HG02428	AFR
HG02429	AFR
HG02433	AFR
HG02436	AFR
HG02439	AFR
HG02442	AFR
HG02445	AFR
HG02449	AFR
HG02450	AFR
HG02451	AFR
HG02455	AFR
HG02461	AFR
HG02462	AFR
HG02463	AFR
HG02464	AFR
HG02465	AFR
HG02466	AFR
HG02470	AFR
HG02471	AFR
HG02476	AFR
HG02477	AFR
HG02478	AFR
HG02479	AFR
HG02480	AFR
HG02481	AFR
HG02484	AFR
HG02485	AFR
HG02486	AFR
HG02489	AFR
HG02490	SAS
HG02491	SAS
HG02492	SAS
HG02493	SAS
HG02494	SAS
HG02495	SAS
HG02496	AFR
HG02497	AFR
HG02501	AFR
HG02502	AFR
HG02505	AFR
HG02508	AFR
HG02511	AFR
HG02512	EAS
HG02513	EAS
HG02514	EAS
HG02521	EAS
HG02522	EAS
HG02523	EAS
HG02524	EAS
HG02525	EAS
HG02526	EAS
HG02536	AFR
HG02537	AFR
HG02541	AFR
HG02545	AFR
HG02546	AFR
HG02547	AFR
HG02549	AFR
HG02554	AFR
HG02555	AFR
HG02557	AFR
HG02558	AFR
HG02559	AFR
HG02561	AFR
HG02562	AFR
HG02563	AFR
HG02567	AFR
HG02568	AFR
HG02569	AFR
HG02570	AFR
HG02571	AFR
HG02572	AFR
HG02573	AFR
HG02574	AFR
HG02575	AFR
HG02577	AFR
HG02580	AFR
HG02582	AFR
HG02583	AFR
HG02584	AFR
HG02585	AFR
HG02586	AFR
HG02587	AFR
HG02588	AFR
HG02589	AFR
HG02590	AFR
HG02594	AFR
HG02595	AFR
HG02596	AFR
HG02597	SAS
HG02599	SAS
HG02600	SAS
HG02601	SAS
HG02602	SAS
HG02603	SAS
HG02604	SAS
HG02605	SAS
HG02610	AFR
HG02611	AFR
HG02612	AFR
HG02613	AFR
HG02614	AFR
HG02615	AFR
HG02620	AFR
HG02621	AFR
HG02622	AFR
HG02623	AFR
HG02624	AFR
HG02625	AFR
HG02628	AFR
HG02629	AFR
HG02630	AFR
HG02634	AFR
HG02635	AFR
HG02636	AFR
HG02642	AFR
HG02643	AFR
HG02644	AFR
HG02645	AFR
HG02646	AFR
HG02647	AFR
HG02648	SAS
HG02649	SAS
HG02650	SAS
HG02651	SAS
HG02652	SAS
HG02653	SAS
HG02654	SAS
HG02655	SAS
HG02656	SAS
HG02657	SAS
HG02658	SAS
HG02659	SAS
HG02660	SAS
HG02661	SAS
HG02662	SAS
HG02666	AFR
HG02667	AFR
HG02668	AFR
HG02675	AFR
HG02676	AFR
HG02677	AFR
HG02678	AFR
HG02679	AFR
HG02680	AFR
HG02681	SAS
HG02682	SAS
HG02683	SAS
HG02684	SAS
HG02685	SAS
HG02686	SAS
HG02687	SAS
HG02688	SAS
HG02689	SAS
HG02690	SAS
HG02691	SAS
HG02692	SAS
HG02694	SAS
HG02696	SAS
HG02697	SAS
HG02698	SAS
HG02699	SAS
HG02700	SAS
HG02701	SAS
HG02702	AFR
HG02703	AFR
HG02704	AFR
HG02715	AFR
HG02716	AFR
HG02717	AFR
HG02721	AFR
HG02722	AFR
HG02723	AFR
HG02724	SAS
HG02725	SAS
HG02726	SAS
HG02727	SAS
HG02728	SAS
HG02729	SAS
HG02731	SAS
HG02733	SAS
HG02734	SAS
HG02735	SAS
HG02736	SAS
HG02737	SAS
HG02738	SAS
HG02756	AFR
HG02757	AFR
HG02758	AFR
HG02759	AFR
HG02760	AFR
HG02761	AFR
HG02762	AFR
HG02763	AFR
HG02764	AFR
HG02768	AFR
HG02769	AFR
HG02770	AFR
HG02771	AFR
HG02772	AFR
HG02773	AFR
HG02774	SAS
HG02775	SAS
HG02776	SAS
HG02778	SAS
HG02779	SAS
HG02780	SAS
HG02781	SAS
HG02783	SAS
HG02784	SAS
HG02785	SAS
HG02786	SAS
HG02787	SAS
HG02788	SAS
HG02789	SAS
HG02790	SAS
HG02791	SAS
HG02792	SAS
HG02793	SAS
HG02794	SAS
HG02798	AFR
HG02799	AFR
HG02800	AFR
HG02804	AFR
HG02805	AFR
HG02806	AFR
HG02807	AFR
HG02808	AFR
HG02809	AFR
HG02810	AFR
HG02811	AFR
HG02812	AFR
HG02813	AFR
HG02814	AFR
HG02815	AFR
HG02816	AFR
HG02817	AFR
HG02818	AFR
HG02819	AFR
HG02820	AFR
HG02821	AFR
HG02836	AFR
HG02837	AFR
HG02838	AFR
HG02839	AFR
HG02840	AFR
HG02841	AFR
HG02851	AFR
HG02852	AFR
HG02853	AFR
HG02854	AFR
HG02855	AFR
HG02856	AFR
HG02860	AFR
HG02861	AFR
HG02862	AFR
HG02869	AFR
HG02870	AFR
HG02871	AFR
HG02878	AFR
HG02879	AFR
HG02880	AFR
HG02881	AFR
HG02882	AFR
HG02883	AFR
HG02884	AFR
HG02885	AFR
HG02886	AFR
HG02887	AFR
HG02888	AFR
HG02889	AFR
